lang,date,message,message_folder,message_file_name,message_image_name,message_status
ru,,,zamena_ekranov_batteries_keyboards,zamena_ekranov_batteries_etc.txt,batteries-keyboards-ru.png,paused
ru,,,zamena_termopasty,zamena_termopasty.txt,zamena_termopasty_ru.png,paused
he,,,zamena_termopasty,zamena_termopasty.txt,zamena_termopasty.png,paused
he,,,maxwevom_xazakim_leavoda\3750,3750.txt,3750.png,paused
he,,,maxwevom_xazakim_leavoda\3940,3940.txt,3940.png,paused
he,,,maxwevom_xazakim_leavoda\4260,4260.txt,4260.png,paused
he,,,maxwevom_xazakim_leavoda\4520,4520.txt,4520.png,paused
he,,,maxwevom_xazakim_leavoda\4960,4960.txt,4960.png,paused
he,,,maxwevom_xazakim_leavoda\5720,5720.txt,5720.png,paused
he,,"סוף סוף זה קרה! קיבלנו מצלמות אינטרנט
720p HD
150 ש''ח
אלוף מחשבים
הרצל 102, ראשון לציון
03-9643766",,,,active
ru,,"У нас есть веб-камеры!
HD 720p
150 шекелей
Алюф махшевим
Герцль 102, Ришон ле-Цион
03-9643766",,,,active
he,,,maxwevom_xazakim_leavoda\6380,6380.txt,6380.png,paused
he,,,maxwevom_xazakim_leavoda\6420,6420.txt,6420.png,paused
he,,,maxwevom_xazakim_leavoda\6950,6950.txt,6950.png,paused
he,,,maxwevom_xazakim_leavoda\7540,7540.txt,7540.png,paused
he,,,maxwevom_xazakim_leavoda\9740,9740.txt,9740.png,paused
